Problem ID,Problem Name,Status,Comment,Rating,Contest Name,Contest Date,Problem Link,Platform,Check,Contest Link,Last Edit
1095A,Repeating Cipher,Review,,800,Codeforces Round #529 (Div. 3),"December 27, 2018",https://codeforces.com/contest/1095/problem/A,Codeforces,No,https://codeforces.com/contest/1095,"April 9, 2022 12:46 PM"
1096A,Find Divisible,Done,Simple,800,Educational Codeforces Round 57 (Rated for Div. 2),"December 28, 2018",https://codeforces.com/contest/1096/problem/A,Codeforces,No,https://codeforces.com/contest/1096,"April 13, 2022 4:15 PM"
1097A,Gennady and a Card Game,Done,Simple,800,Hello 2019,"January 4, 2019",https://codeforces.com/contest/1097/problem/A,Codeforces,No,https://codeforces.com/contest/1097,"April 13, 2022 4:15 PM"
1099A,Snowball,Done,Simple,800,Codeforces Round #530 (Div. 2),"January 5, 2019",https://codeforces.com/contest/1099/problem/A,Codeforces,No,https://codeforces.com/contest/1099,"April 13, 2022 4:15 PM"
1102A,Integer Sequence Dividing,Review,,800,Codeforces Round #531 (Div. 3),"January 9, 2019",https://codeforces.com/contest/1102/problem/A,Codeforces,No,https://codeforces.com/contest/1102,"April 10, 2022 3:44 PM"
1104A,Splitting into digits,Done,Simple,800,Codeforces Round #534 (Div. 2),"January 22, 2019",https://codeforces.com/contest/1104/problem/A,Codeforces,No,https://codeforces.com/contest/1104,"April 13, 2022 4:15 PM"
1106A,Lunar New Year and Cross Counting,Done,Simple,800,Codeforces Round #536 (Div. 2),"January 31, 2019",https://codeforces.com/contest/1106/problem/A,Codeforces,No,https://codeforces.com/contest/1106,"April 13, 2022 4:15 PM"
1108A,Two distinct points,Review,,800,Codeforces Round #535 (Div. 3),"January 23, 2019",https://codeforces.com/contest/1108/problem/A,Codeforces,No,https://codeforces.com/contest/1108,"April 10, 2022 3:55 PM"
110A,Nearly Lucky Number,Done,Simple,800,Codeforces Beta Round #84 (Div. 2 Only),"August 29, 2011",https://codeforces.com/contest/110/problem/A,Codeforces,No,https://codeforces.com/contest/110,"April 13, 2022 4:14 PM"
1114A,Got Any Grapes?,Done,Simple,800,Codeforces Round #538 (Div. 2),"February 10, 2019",https://codeforces.com/contest/1114/problem/A,Codeforces,No,https://codeforces.com/contest/1114,"April 13, 2022 4:15 PM"
1118A,Water Buying,Done,Simple,800,Codeforces Round #540 (Div. 3),"February 19, 2019",https://codeforces.com/contest/1118/problem/A,Codeforces,No,https://codeforces.com/contest/1118,"April 13, 2022 4:15 PM"
112A,Petya and Strings,Done,Simple,800,Codeforces Beta Round #85 (Div. 2 Only),"September 3, 2011",https://codeforces.com/contest/112/problem/A,Codeforces,No,https://codeforces.com/contest/112,"April 13, 2022 4:14 PM"
1130A,Be Positive,Done,Simple,800,Codeforces Round #542 [Alex Lopashev Thanks-Round] (Div. 2),"February 24, 2019",https://codeforces.com/contest/1130/problem/A,Codeforces,No,https://codeforces.com/contest/1130,"April 13, 2022 4:15 PM"
1131A,Sea Battle,Done,Simple,800,Codeforces Round #541 (Div. 2),"February 23, 2019",https://codeforces.com/contest/1131/problem/A,Codeforces,No,https://codeforces.com/contest/1131,"April 13, 2022 4:15 PM"
1136A,Nastya Is Reading a Book,Done,Simple,800,Codeforces Round #546 (Div. 2),"March 11, 2019",https://codeforces.com/contest/1136/problem/A,Codeforces,No,https://codeforces.com/contest/1136,"April 13, 2022 4:15 PM"
1139A,Even Substrings,Done,Simple,800,Codeforces Round #548 (Div. 2),"March 21, 2019",https://codeforces.com/contest/1139/problem/A,Codeforces,No,https://codeforces.com/contest/1139,"April 13, 2022 4:15 PM"
1143A,The Doors,Review,,800,Codeforces Round #549 (Div. 2),"March 30, 2019",https://codeforces.com/contest/1143/problem/A,Codeforces,No,https://codeforces.com/contest/1143,"April 10, 2022 4:56 PM"
1144A,Diverse Strings,Review,,800,Codeforces Round #550 (Div. 3),"March 31, 2019",https://codeforces.com/contest/1144/problem/A,Codeforces,No,https://codeforces.com/contest/1144,"April 10, 2022 5:07 PM"
1146A,"Love ""A""",Done,Simple,800,Forethought Future Cup - Elimination Round,"April 21, 2019",https://codeforces.com/contest/1146/problem/A,Codeforces,No,https://codeforces.com/contest/1146,"April 13, 2022 4:15 PM"
1148A,Another One Bites The Dust,Review,,800,Codeforces Global Round 3,"June 1, 2019",https://codeforces.com/contest/1148/problem/A,Codeforces,No,https://codeforces.com/contest/1148,"April 10, 2022 7:49 PM"
1150A,Stock Arbitraging,Done,Simple,800,Codeforces Round #556 (Div. 2),"April 29, 2019",https://codeforces.com/contest/1150/problem/A,Codeforces,No,https://codeforces.com/contest/1150,"April 13, 2022 4:15 PM"
1152A,Neko Finds Grapes,Done,Simple,800,Codeforces Round #554 (Div. 2),"April 24, 2019",https://codeforces.com/contest/1152/problem/A,Codeforces,No,https://codeforces.com/contest/1152,"April 13, 2022 4:15 PM"
1154A,Restoring Three Numbers,Done,Simple,800,Codeforces Round #552 (Div. 3),"April 16, 2019",https://codeforces.com/contest/1154/problem/A,Codeforces,No,https://codeforces.com/contest/1154,"April 13, 2022 4:15 PM"
1159A,A pile of stones,Review,Challenging,800,Codeforces Round #559 (Div. 2),"May 12, 2019",https://codeforces.com/contest/1159/problem/A,Codeforces,No,https://codeforces.com/contest/1159,"May 4, 2022 5:02 PM"
1162A,Zoning Restrictions Again,Done,Simple,800,Codeforces Round #557 (Div. 2) [based on Forethought Future Cup - Final Round],"May 4, 2019",https://codeforces.com/contest/1162/problem/A,Codeforces,No,https://codeforces.com/contest/1162,"April 13, 2022 4:15 PM"
1167A,Telephone Number,Done,Simple,800,Educational Codeforces Round 65 (Rated for Div. 2),"May 15, 2019",https://codeforces.com/contest/1167/problem/A,Codeforces,No,https://codeforces.com/contest/1167,"April 13, 2022 4:15 PM"
116A,Tram,Done,Simple,800,Codeforces Beta Round #87 (Div. 2 Only),"September 15, 2011",https://codeforces.com/contest/116/problem/A,Codeforces,No,https://codeforces.com/contest/116,"April 13, 2022 4:14 PM"
1173A,Nauuo and Votes,Done,Simple,800,Codeforces Round #564 (Div. 2),"June 7, 2019",https://codeforces.com/contest/1173/problem/A,Codeforces,No,https://codeforces.com/contest/1173,"April 13, 2022 4:15 PM"
1176A,Divide it!,Done,Simple,800,Codeforces Round #565 (Div. 3),"June 9, 2019",https://codeforces.com/contest/1176/problem/A,Codeforces,No,https://codeforces.com/contest/1176,"April 13, 2022 4:15 PM"
1178A,Prime Minister,Done,Simple,800,Codeforces Global Round 4,"July 20, 2019",https://codeforces.com/contest/1178/problem/A,Codeforces,No,https://codeforces.com/contest/1178,"April 13, 2022 4:15 PM"
1180A,Alex and a Rhombus,Done,Simple,800,Codeforces Round #569 (Div. 2),"June 21, 2019",https://codeforces.com/contest/1180/problem/A,Codeforces,No,https://codeforces.com/contest/1180,"April 13, 2022 4:15 PM"
1183A,Nearest Interesting Number,Done,Simple,800,Codeforces Round #570 (Div. 3),"June 26, 2019",https://codeforces.com/contest/1183/problem/A,Codeforces,No,https://codeforces.com/contest/1183,"April 13, 2022 4:15 PM"
1185A,Ropewalkers,Done,Simple,800,Codeforces Round #568 (Div. 2),"June 19, 2019",https://codeforces.com/contest/1185/problem/A,Codeforces,No,https://codeforces.com/contest/1185,"April 13, 2022 4:15 PM"
1186A,Vus the Cossack and a Contest,Done,Simple,800,Codeforces Round #571 (Div. 2),"June 28, 2019",https://codeforces.com/contest/1186/problem/A,Codeforces,No,https://codeforces.com/contest/1186,"April 13, 2022 4:15 PM"
1189A,Keanu Reeves,Done,Simple,800,Codeforces Round #572 (Div. 2),"July 5, 2019",https://codeforces.com/contest/1189/problem/A,Codeforces,No,https://codeforces.com/contest/1189,"April 13, 2022 4:15 PM"
1191A,Tokitsukaze and Enhancement,Done,Simple,800,Codeforces Round #573 (Div. 2),"July 12, 2019",https://codeforces.com/contest/1191/problem/A,Codeforces,No,https://codeforces.com/contest/1191,"April 13, 2022 4:15 PM"
1194A,Remove a Progression,Done,Simple,800,Educational Codeforces Round 68 (Rated for Div. 2),"July 14, 2019",https://codeforces.com/contest/1194/problem/A,Codeforces,No,https://codeforces.com/contest/1194,"April 13, 2022 4:15 PM"
1196A,Three Piles of Candies,Done,Simple,800,Codeforces Round #575 (Div. 3),"July 24, 2019",https://codeforces.com/contest/1196/problem/A,Codeforces,No,https://codeforces.com/contest/1196,"April 13, 2022 4:15 PM"
119A,Epic Game,Review,Interesting,800,Codeforces Beta Round #90,"October 14, 2011",https://codeforces.com/contest/119/problem/A,Codeforces,No,https://codeforces.com/contest/119,"May 6, 2022 1:06 AM"
1200A,Hotelier,Done,Simple,800,Codeforces Round #578 (Div. 2),"August 11, 2019",https://codeforces.com/contest/1200/problem/A,Codeforces,No,https://codeforces.com/contest/1200,"April 13, 2022 4:15 PM"
1206A,Choose Two Numbers,Done,Simple,800,Codeforces Round #580 (Div. 2),"August 18, 2019",https://codeforces.com/contest/1206/problem/A,Codeforces,No,https://codeforces.com/contest/1206,"April 13, 2022 4:15 PM"
1207A,There Are Two Types Of Burgers,Done,Simple,800,Educational Codeforces Round 71 (Rated for Div. 2),"August 22, 2019",https://codeforces.com/contest/1207/problem/A,Codeforces,No,https://codeforces.com/contest/1207,"April 13, 2022 4:15 PM"
1209A,Paint the Numbers,Review,,800,"Codeforces Round #584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)","September 14, 2019",https://codeforces.com/contest/1209/problem/A,Codeforces,No,https://codeforces.com/contest/1209,"April 10, 2022 9:22 PM"
1216A,Prefixes,Done,Simple,800,Codeforces Round #587 (Div. 3),"September 21, 2019",https://codeforces.com/contest/1216/problem/A,Codeforces,No,https://codeforces.com/contest/1216,"April 13, 2022 4:15 PM"
1220A,Cards,Done,Simple,800,Codeforces Round #586 (Div. 1 + Div. 2),"September 18, 2019",https://codeforces.com/contest/1220/problem/A,Codeforces,No,https://codeforces.com/contest/1220,"April 13, 2022 4:15 PM"
1223A,CME,Done,Simple,800,Technocup 2020 - Elimination Round 1,"October 6, 2019",https://codeforces.com/contest/1223/problem/A,Codeforces,No,https://codeforces.com/contest/1223,"April 13, 2022 4:15 PM"
1228A,Distinct Digits,Done,Simple,800,Codeforces Round #589 (Div. 2),"September 29, 2019",https://codeforces.com/contest/1228/problem/A,Codeforces,No,https://codeforces.com/contest/1228,"April 13, 2022 4:15 PM"
1230A,Dawid and Bags of Candies,Review,,800,Codeforces Round #588 (Div. 2),"September 23, 2019",https://codeforces.com/contest/1230/problem/A,Codeforces,No,https://codeforces.com/contest/1230,"April 10, 2022 9:41 PM"
1234A,Equalize Prices Again,Done,Simple,800,Codeforces Round #590 (Div. 3),"October 1, 2019",https://codeforces.com/contest/1234/problem/A,Codeforces,No,https://codeforces.com/contest/1234,"April 13, 2022 4:15 PM"
1236A,Stones,Done,Simple,800,Codeforces Round #593 (Div. 2),"October 17, 2019",https://codeforces.com/contest/1236/problem/A,Codeforces,No,https://codeforces.com/contest/1236,"April 13, 2022 4:15 PM"
1243A,Maximum Square,Review,,800,Codeforces Round #599 (Div. 2),"November 6, 2019",https://codeforces.com/contest/1243/problem/A,Codeforces,No,https://codeforces.com/contest/1243,"April 10, 2022 10:46 PM"
1244A,Pens and Pencils,Done,Simple,800,Codeforces Round #592 (Div. 2),"October 13, 2019",https://codeforces.com/contest/1244/problem/A,Codeforces,No,https://codeforces.com/contest/1244,"April 13, 2022 4:15 PM"
1249A,Yet Another Dividing into Teams,Done,Simple,800,Codeforces Round #595 (Div. 3),"October 22, 2019",https://codeforces.com/contest/1249/problem/A,Codeforces,No,https://codeforces.com/contest/1249,"April 13, 2022 4:15 PM"
1250F,Data Center,Done,Simple,800,"2019-2020 ICPC, NERC, Southern and Volga Russian Regional Contest (Online Mirror, ICPC Rules, Teams Preferred)","October 27, 2019",https://codeforces.com/contest/1250/problem/F,Codeforces,No,https://codeforces.com/contest/1250,"April 13, 2022 4:15 PM"
1255A,Changing Volume,Done,Simple,800,Codeforces Round #601 (Div. 2),"November 19, 2019",https://codeforces.com/contest/1255/problem/A,Codeforces,No,https://codeforces.com/contest/1255,"April 13, 2022 4:15 PM"
1257A,Two Rival Students,Review,,800,Educational Codeforces Round 76 (Rated for Div. 2),"November 13, 2019",https://codeforces.com/contest/1257/problem/A,Codeforces,No,https://codeforces.com/contest/1257,"April 10, 2022 10:50 PM"
1269A,Equation,Review,,800,Codeforces Round #609 (Div. 2),"December 21, 2019",https://codeforces.com/contest/1269/problem/A,Codeforces,No,https://codeforces.com/contest/1269,"April 10, 2022 11:09 PM"
1270A,Card Game,Done,Simple,800,Good Bye 2019,"December 29, 2019",https://codeforces.com/contest/1270/problem/A,Codeforces,No,https://codeforces.com/contest/1270,"April 13, 2022 4:15 PM"
1271A,Suits,Done,Simple,800,Codeforces Round #608 (Div. 2),"December 15, 2019",https://codeforces.com/contest/1271/problem/A,Codeforces,No,https://codeforces.com/contest/1271,"April 13, 2022 4:15 PM"
1281A,Suffix Three,Done,Simple,800,Codeforces Round #607 (Div. 2),"December 15, 2019",https://codeforces.com/contest/1281/problem/A,Codeforces,No,https://codeforces.com/contest/1281,"April 13, 2022 4:15 PM"
1283A,Minutes Before the New Year,Done,Simple,800,Codeforces Round #611 (Div. 3),"December 28, 2019",https://codeforces.com/contest/1283/problem/A,Codeforces,No,https://codeforces.com/contest/1283,"April 13, 2022 4:15 PM"
1284A,New Year and Naming,Done,Simple,800,Hello 2020,"January 4, 2020",https://codeforces.com/contest/1284/problem/A,Codeforces,No,https://codeforces.com/contest/1284,"April 13, 2022 4:15 PM"
1285A,Mezo Playing Zoma,Done,Simple,800,Codeforces Round #613 (Div. 2),"January 10, 2020",https://codeforces.com/contest/1285/problem/A,Codeforces,No,https://codeforces.com/contest/1285,"April 13, 2022 4:15 PM"
1287A,Angry Students,Done,Simple,800,Codeforces Round #612 (Div. 2),"January 5, 2020",https://codeforces.com/contest/1287/problem/A,Codeforces,No,https://codeforces.com/contest/1287,"April 13, 2022 4:15 PM"
1294A,Collecting Coins,Review,,800,Codeforces Round #615 (Div. 3),"January 22, 2020",https://codeforces.com/contest/1294/problem/A,Codeforces,No,https://codeforces.com/contest/1294,"April 11, 2022 1:28 PM"
1296A,Array with Odd Sum,Done,Simple,800,Codeforces Round #617 (Div. 3),"February 4, 2020",https://codeforces.com/contest/1296/problem/A,Codeforces,No,https://codeforces.com/contest/1296,"April 13, 2022 4:15 PM"
12A,Super Agent,Review,Simple,800,Codeforces Beta Round #12 (Div 2 Only),"April 29, 2010",https://codeforces.com/contest/12/problem/A,Codeforces,No,https://codeforces.com/contest/12,"May 6, 2022 12:20 AM"
1300A,Non-zero,Done,Simple,800,Codeforces Round #618 (Div. 2),"February 9, 2020",https://codeforces.com/contest/1300/problem/A,Codeforces,No,https://codeforces.com/contest/1300,"April 13, 2022 4:15 PM"
1301A,Three Strings,Done,Simple,800,Codeforces Round #619 (Div. 2),"February 13, 2020",https://codeforces.com/contest/1301/problem/A,Codeforces,No,https://codeforces.com/contest/1301,"April 13, 2022 4:15 PM"
1303A,Erasing Zeroes,Done,Simple,800,Educational Codeforces Round 82 (Rated for Div. 2),"February 12, 2020",https://codeforces.com/contest/1303/problem/A,Codeforces,No,https://codeforces.com/contest/1303,"April 13, 2022 4:15 PM"
1304A,Two Rabbits,Done,Simple,800,Codeforces Round #620 (Div. 2),"February 15, 2020",https://codeforces.com/contest/1304/problem/A,Codeforces,No,https://codeforces.com/contest/1304,"April 13, 2022 4:15 PM"
1305A,Kuroni and the Gifts,Done,Simple,800,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)","March 3, 2020",https://codeforces.com/contest/1305/problem/A,Codeforces,No,https://codeforces.com/contest/1305,"April 13, 2022 4:15 PM"
1307A,Cow and Haybales,Done,Simple,800,Codeforces Round #621 (Div. 1 + Div. 2),"February 17, 2020",https://codeforces.com/contest/1307/problem/A,Codeforces,No,https://codeforces.com/contest/1307,"April 13, 2022 4:15 PM"
1311A,Add Odd or Subtract Even,Done,Simple,800,Codeforces Round #624 (Div. 3),"February 24, 2020",https://codeforces.com/contest/1311/problem/A,Codeforces,No,https://codeforces.com/contest/1311,"April 13, 2022 4:15 PM"
1312A,Two Regular Polygons,Done,Simple,800,Educational Codeforces Round 83 (Rated for Div. 2),"March 9, 2020",https://codeforces.com/contest/1312/problem/A,Codeforces,No,https://codeforces.com/contest/1312,"April 13, 2022 4:15 PM"
1315A,Dead Pixel,Done,Simple,800,"Codeforces Round #623 (Div. 2, based on VK Cup 2019-2020 - Elimination Round, Engine)","February 23, 2020",https://codeforces.com/contest/1315/problem/A,Codeforces,No,https://codeforces.com/contest/1315,"April 13, 2022 4:15 PM"
1316A,Grade Allocation,Done,Simple,800,CodeCraft-20 (Div. 2),"March 4, 2020",https://codeforces.com/contest/1316/problem/A,Codeforces,No,https://codeforces.com/contest/1316,"April 13, 2022 4:15 PM"
1323A,Even Subset Sum Problem,Done,Simple,800,"Codeforces Round #626 (Div. 2, based on Moscow Open Olympiad in Informatics)","March 7, 2020",https://codeforces.com/contest/1323/problem/A,Codeforces,No,https://codeforces.com/contest/1323,"April 13, 2022 4:15 PM"
1325A,EhAb AnD gCd,Review,,800,Codeforces Round #628 (Div. 2),"March 14, 2020",https://codeforces.com/contest/1325/problem/A,Codeforces,No,https://codeforces.com/contest/1325,"April 11, 2022 10:23 PM"
1325B,CopyCopyCopyCopyCopy,Done,Simple,800,Codeforces Round #628 (Div. 2),"March 14, 2020",https://codeforces.com/contest/1325/problem/B,Codeforces,No,https://codeforces.com/contest/1325,"April 13, 2022 4:15 PM"
1328A,Divisibility Problem,Done,Simple,800,Codeforces Round #629 (Div. 3),"March 26, 2020",https://codeforces.com/contest/1328/problem/A,Codeforces,No,https://codeforces.com/contest/1328,"April 13, 2022 4:15 PM"
1335A,Candies and Two Sisters,Review,,800,Codeforces Round #634 (Div. 3),"April 13, 2020",https://codeforces.com/contest/1335/problem/A,Codeforces,No,https://codeforces.com/contest/1335,"April 11, 2022 10:30 PM"
1337A,Ichihime and Triangle,Done,Simple,800,Codeforces Round #635 (Div. 2),"April 15, 2020",https://codeforces.com/contest/1337/problem/A,Codeforces,No,https://codeforces.com/contest/1337,"April 13, 2022 4:15 PM"
1343B,Balanced Array,Review,,800,Codeforces Round #636 (Div. 3),"April 21, 2020",https://codeforces.com/contest/1343/problem/B,Codeforces,No,https://codeforces.com/contest/1343,"April 11, 2022 10:47 PM"
1345A,Puzzle Pieces,Review,Challenging,800,Codeforces Round #639 (Div. 2),"May 6, 2020",https://codeforces.com/contest/1345/problem/A,Codeforces,No,https://codeforces.com/contest/1345,"April 26, 2022 11:54 PM"
1348A,Phoenix and Balance,Review,,800,Codeforces Round #638 (Div. 2),"May 1, 2020",https://codeforces.com/contest/1348/problem/A,Codeforces,No,https://codeforces.com/contest/1348,"April 11, 2022 10:59 PM"
1351A,A+B (Trial Problem),Done,Simple,800,Testing Round #16 (Unrated),"May 7, 2020",https://codeforces.com/contest/1351/problem/A,Codeforces,No,https://codeforces.com/contest/1351,"April 13, 2022 4:15 PM"
1352A,Sum of Round Numbers,Done,Simple,800,Codeforces Round #640 (Div. 4),"May 9, 2020",https://codeforces.com/contest/1352/problem/A,Codeforces,No,https://codeforces.com/contest/1352,"April 13, 2022 4:15 PM"
1353A,Most Unstable Array,Review,,800,Codeforces Round #642 (Div. 3),"May 14, 2020",https://codeforces.com/contest/1353/problem/A,Codeforces,No,https://codeforces.com/contest/1353,"April 11, 2022 11:29 PM"
1353B,Two Arrays And Swaps,Review,,800,Codeforces Round #642 (Div. 3),"May 14, 2020",https://codeforces.com/contest/1353/problem/B,Codeforces,No,https://codeforces.com/contest/1353,"April 11, 2022 11:44 PM"
1358A,Park Lighting,Review,,800,Codeforces Round #645 (Div. 2),"May 26, 2020",https://codeforces.com/contest/1358/problem/A,Codeforces,No,https://codeforces.com/contest/1358,"April 12, 2022 4:58 PM"
1360A,Minimal Square,Review,,800,Codeforces Round #644 (Div. 3),"May 24, 2020",https://codeforces.com/contest/1360/problem/A,Codeforces,No,https://codeforces.com/contest/1360,"April 12, 2022 4:44 PM"
1360B,Honest Coach,Review,,800,Codeforces Round #644 (Div. 3),"May 24, 2020",https://codeforces.com/contest/1360/problem/B,Codeforces,No,https://codeforces.com/contest/1360,"April 12, 2022 4:51 PM"
1367A,Short Substrings,Done,Simple,800,Codeforces Round #650 (Div. 3),"June 16, 2020",https://codeforces.com/contest/1367/problem/A,Codeforces,No,https://codeforces.com/contest/1367,"April 13, 2022 4:15 PM"
